from,to,distance_km,duration_min
Minster,Cairo,70.14,59.63
Minster,Caledonia,185.55,127.44
Minster,Carey,139.59,95.21
Minster,Columbus Grove,79.89,69.31
Minster,Continental,87.63,92.29
Minster,Cridersville,50.3,43.96
Minster,Delphos,53.49,56.95
Minster,Dunkirk,108.67,77.55
Minster,Elida,68.22,58.3
Minster,Forest,118.83,83.64
Minster,Fort Jennings,62.15,66.41
Minster,Glandorf,93.99,82.01
Minster,Kalida,88.04,77.21
Minster,Kenton,86.0,78.94
Minster,La Rue,113.1,105.17
Minster,Leipsic,107.76,89.32
Minster,Lima,60.38,48.11
Minster,Marion,145.43,118.39
Minster,Mount Victory,84.3,78.84
Minster,Nevada,155.26,105.2
Minster,New Bremen,4.99,5.23
Minster,New Knoxville,16.61,17.01
Minster,Ottawa,91.08,77.83
Minster,Ottoville,65.15,67.86
Minster,Pandora,89.46,67.69
Minster,Prospect,130.41,104.28
Minster,Saint Marys,17.04,18.0
Minster,Spencerville,37.35,40.06
Minster,Sycamore,152.27,108.39
Minster,Upper Sandusky,136.61,94.98
Minster,Wapakoneta,37.2,32.42
Minster,Waynesfield,57.31,49.28
Mount Victory,Ada,39.74,39.2
Mount Victory,Alger,40.34,40.07
Mount Victory,Bluffton,63.06,57.87
Mount Victory,Cairo,74.42,60.39
Mount Victory,Caledonia,59.53,59.07
Mount Victory,Carey,70.12,60.28
Mount Victory,Columbus Grove,79.36,68.27
Mount Victory,Continental,114.16,99.98
Mount Victory,Cridersville,70.41,69.27
Mount Victory,Delphos,94.77,73.43
Mount Victory,Dunkirk,30.91,31.27
Mount Victory,Elida,71.32,72.06
Mount Victory,Forest,34.03,34.79
Mount Victory,Fort Jennings,101.59,80.87
Mount Victory,Glandorf,93.7,82.26
Mount Victory,Kalida,95.55,80.38
Mount Victory,Kenton,14.88,15.02
Mount Victory,La Rue,14.81,30.79
Mount Victory,Leipsic,92.32,85.58
Mount Victory,Lima,59.81,61.07
Mount Victory,Marion,44.41,44.08
Mount Victory,Minster,84.3,78.84
Mount Victory,Nevada,76.75,63.74
Mount Victory,New Bremen,79.31,73.62
Mount Victory,New Knoxville,80.21,75.59
Mount Victory,Ottawa,90.79,78.08
Mount Victory,Ottoville,103.87,79.47
Mount Victory,Pandora,77.44,66.31
Mount Victory,Prospect,38.11,34.67
Mount Victory,Saint Marys,82.31,74.46
Mount Victory,Spencerville,81.72,84.35
Mount Victory,Sycamore,73.75,66.94
Mount Victory,Upper Sandusky,58.1,53.52
Mount Victory,Wapakoneta,65.5,62.88
Mount Victory,Waynesfield,47.19,46.77
Nevada,Ada,71.7,48.33
Nevada,Alger,80.43,57.46
Nevada,Bluffton,78.14,54.16
Nevada,Cairo,89.5,56.68
Nevada,Caledonia,39.98,36.09
Nevada,Carey,34.17,23.73
Nevada,Columbus Grove,94.45,64.56
Nevada,Continental,129.25,96.27
Nevada,Cridersville,107.05,71.53
Nevada,Delphos,109.85,69.72
Nevada,Dunkirk,55.89,37.36
Nevada,Elida,104.09,70.1
Nevada,Forest,42.98,29.83
Nevada,Fort Jennings,116.68,77.16
Nevada,Glandorf,108.78,78.55
Nevada,Kalida,110.64,76.66
Nevada,Kenton,62.05,49.46
Nevada,La Rue,46.46,47.01
Nevada,Leipsic,94.66,73.95
Nevada,Lima,94.55,63.03
Nevada,Marion,29.39,29.15
Nevada,Minster,152.99,102.82
Nevada,Mount Victory,76.71,64.14
Nevada,New Bremen,147.67,97.76
Nevada,New Knoxville,137.15,92.55
Nevada,Ottawa,96.42,73.79
Nevada,Ottoville,118.95,75.76
Nevada,Pandora,92.53,62.6
Nevada,Prospect,54.43,43.44
Nevada,Saint Marys,137.09,87.92
Nevada,Spencerville,122.32,84.86
Nevada,Sycamore,17.86,18.97
Nevada,Upper Sandusky,16.43,13.71
Nevada,Wapakoneta,118.41,75.24
Nevada,Waynesfield,103.4,79.87
New Bremen,Ada,79.5,61.95
New Bremen,Alger,76.9,62.65
New Bremen,Bluffton,80.06,56.04
New Bremen,Cairo,64.8,54.41
New Bremen,Caledonia,180.2,122.22
New Bremen,Carey,134.24,89.99
New Bremen,Columbus Grove,74.55,64.09
New Bremen,Continental,82.72,87.17
New Bremen,Cridersville,44.96,38.74
New Bremen,Delphos,48.59,51.83
New Bremen,Dunkirk,103.33,72.33
New Bremen,Elida,62.88,53.09
New Bremen,Forest,113.48,78.42
New Bremen,Fort Jennings,57.25,61.29
New Bremen,Glandorf,88.64,76.79
New Bremen,Kalida,82.7,71.99
New Bremen,Kenton,81.01,73.71
New Bremen,La Rue,108.11,99.94
New Bremen,Leipsic,102.41,84.1
New Bremen,Lima,55.04,42.89
New Bremen,Marion,140.44,113.16
New Bremen,Minster,4.99,5.23
New Bremen,Mount Victory,79.31,73.62
New Bremen,Nevada,149.91,99.98
New Bremen,New Knoxville,11.62,11.78
New Bremen,Ottawa,85.74,72.61
New Bremen,Ottoville,60.25,62.74
New Bremen,Pandora,84.11,62.47
New Bremen,Prospect,125.42,99.05
New Bremen,Saint Marys,12.14,12.88
New Bremen,Spencerville,32.45,34.94
New Bremen,Sycamore,146.92,103.17
New Bremen,Upper Sandusky,131.26,89.76
New Bremen,Wapakoneta,32.3,27.3
New Bremen,Waynesfield,51.96,44.06
New Knoxville,Ada,69.38,56.91
New Knoxville,Alger,66.79,57.61
New Knoxville,Bluffton,69.94,51.0
New Knoxville,Cairo,54.68,49.37
New Knoxville,Caledonia,170.09,117.17
New Knoxville,Carey,124.13,84.95
New Knoxville,Columbus Grove,64.44,59.05
New Knoxville,Continental,79.73,84.4
New Knoxville,Cridersville,34.85,33.7
New Knoxville,Delphos,45.59,49.07
New Knoxville,Dunkirk,93.21,67.29
New Knoxville,Elida,52.76,48.04
New Knoxville,Forest,103.37,73.38
New Knoxville,Fort Jennings,54.25,58.53
New Knoxville,Glandorf,78.53,71.75
New Knoxville,Kalida,72.58,66.95
New Knoxville,Kenton,73.17,69.46
New Knoxville,La Rue,100.27,95.69
New Knoxville,Leipsic,92.3,79.06
New Knoxville,Lima,44.92,37.85
New Knoxville,Marion,159.5,110.24
New Knoxville,Minster,16.61,17.01
New Knoxville,Mount Victory,80.24,75.53
New Knoxville,Nevada,139.8,94.94
New Knoxville,New Bremen,11.62,11.78
New Knoxville,Ottawa,75.62,67.57
New Knoxville,Ottoville,57.25,59.98
New Knoxville,Pandora,74.0,57.42
New Knoxville,Prospect,126.35,100.97
New Knoxville,Saint Marys,10.18,11.83
New Knoxville,Spencerville,29.45,32.17
New Knoxville,Sycamore,136.81,98.14
New Knoxville,Upper Sandusky,121.15,84.72
New Knoxville,Wapakoneta,20.48,19.99
New Knoxville,Waynesfield,41.47,38.38
Ottawa,Ada,47.6,41.59
Ottawa,Alger,56.32,50.72
Ottawa,Bluffton,29.64,26.52
Ottawa,Cairo,22.42,19.81
Ottawa,Caledonia,127.54,96.46
Ottawa,Carey,66.65,55.38
Ottawa,Columbus Grove,11.54,9.92
Ottawa,Continental,23.17,23.51
Ottawa,Cridersville,43.93,44.46
Ottawa,Delphos,44.3,35.47
Ottawa,Dunkirk,60.01,47.69
Ottawa,Elida,36.1,35.59
Ottawa,Forest,70.17,53.77
Ottawa,Fort Jennings,27.46,28.09
Ottawa,Glandorf,3.43,5.16
Ottawa,Kalida,14.68,14.77
Ottawa,Kenton,76.03,63.95
Ottawa,La Rue,101.42,86.64
Ottawa,Leipsic,12.83,13.49
Ottawa,Lima,32.8,30.99
Ottawa,Marion,116.95,89.53
Ottawa,Minster,90.58,77.11
Ottawa,Mount Victory,90.9,78.87
Ottawa,Nevada,97.25,74.23
Ottawa,New Bremen,85.26,72.05
Ottawa,New Knoxville,74.75,66.84
Ottawa,Ottoville,28.36,28.4
Ottawa,Pandora,16.1,17.82
Ottawa,Prospect,141.99,103.82
Ottawa,Saint Marys,74.69,62.22
Ottawa,Spencerville,56.77,50.61
Ottawa,Sycamore,85.62,74.67
Ottawa,Upper Sandusky,87.95,65.11
Ottawa,Wapakoneta,56.0,49.53
Ottawa,Waynesfield,56.16,55.79
Ottoville,Ada,60.42,42.32
Ottoville,Alger,69.15,51.45
Ottoville,Bluffton,53.14,37.11
Ottoville,Cairo,32.89,23.98
Ottoville,Caledonia,149.72,98.31
Ottoville,Carey,107.33,71.06
Ottoville,Columbus Grove,27.47,28.86
Ottoville,Continental,25.75,26.32
Ottoville,Cridersville,49.32,43.35
Ottoville,Delphos,11.65,10.96
Ottoville,Dunkirk,72.84,48.42
Ottoville,Elida,24.12,21.85
Ottoville,Forest,83.0,54.51
Ottoville,Fort Jennings,4.71,5.28
Ottoville,Glandorf,27.44,27.83
Ottoville,Kalida,13.68,13.63
Ottoville,Kenton,88.85,64.68
Ottoville,La Rue,114.25,87.38
Ottoville,Leipsic,40.67,40.91
Ottoville,Lima,38.66,30.34
Ottoville,Marion,139.13,91.37
Ottoville,Minster,65.15,67.86
Ottoville,Mount Victory,103.73,79.61
Ottoville,Nevada,119.42,76.08
Ottoville,New Bremen,60.25,62.74
Ottoville,New Knoxville,57.25,59.98
Ottoville,Ottawa,28.36,28.4
Ottoville,Pandora,36.56,38.29
Ottoville,Prospect,164.17,105.66
Ottoville,Saint Marys,48.18,50.02
Ottoville,Spencerville,27.8,27.8
Ottoville,Sycamore,116.43,79.27
Ottoville,Upper Sandusky,100.78,65.85
Ottoville,Wapakoneta,61.39,48.42
Ottoville,Waynesfield,62.01,55.13
Pandora,Ada,35.75,31.0
Pandora,Alger,37.78,37.84
Pandora,Bluffton,11.84,15.3
Pandora,Cairo,20.32,20.73
Pandora,Caledonia,125.04,86.98
Pandora,Carey,58.74,48.79
Pandora,Columbus Grove,9.09,9.43
Pandora,Continental,39.26,41.28
Pandora,Cridersville,43.07,35.31
Pandora,Delphos,42.21,36.38
Pandora,Dunkirk,48.16,37.1
Pandora,Elida,36.72,36.18
Pandora,Forest,58.32,43.18
Pandora,Fort Jennings,32.0,33.62
Pandora,Glandorf,19.52,22.93
Pandora,Kalida,30.9,32.21
Pandora,Kenton,64.18,53.36
Pandora,La Rue,89.58,76.05
Pandora,Leipsic,18.52,21.9
Pandora,Lima,30.57,26.8
Pandora,Marion,114.46,80.04
Pandora,Minster,89.0,66.6
Pandora,Mount Victory,79.06,68.28
Pandora,Nevada,94.75,64.75
Pandora,New Bremen,83.68,61.54
Pandora,New Knoxville,73.17,56.33
Pandora,Ottawa,16.1,17.82
Pandora,Ottoville,36.56,38.29
Pandora,Prospect,139.5,94.34
Pandora,Saint Marys,73.11,51.71
Pandora,Spencerville,53.35,50.71
Pandora,Sycamore,91.76,67.94
Pandora,Upper Sandusky,76.1,54.52
Pandora,Wapakoneta,54.42,39.02
Pandora,Waynesfield,49.47,43.72
Prospect,Ada,78.84,72.88
Prospect,Alger,79.45,73.76
Prospect,Bluffton,123.45,84.11
Prospect,Cairo,134.81,86.64
Prospect,Caledonia,34.65,28.59
Prospect,Carey,79.47,53.68
Prospect,Columbus Grove,139.75,94.52
Prospect,Continental,174.55,126.22
Prospect,Cridersville,127.13,101.02
Prospect,Delphos,155.16,99.67
Prospect,Dunkirk,70.02,64.92
Prospect,Elida,149.39,100.05
Prospect,Forest,58.01,55.06
Prospect,Fort Jennings,161.98,107.12
Prospect,Glandorf,154.09,108.5
Prospect,Kalida,155.94,106.62
Prospect,Kenton,53.99,48.7
Prospect,La Rue,28.56,25.93
Prospect,Leipsic,139.96,103.9
Prospect,Lima,139.86,92.98
Prospect,Marion,17.08,16.59
Prospect,Minster,129.33,103.18
Prospect,Mount Victory,38.11,34.67
Prospect,Nevada,54.35,43.25
Prospect,New Bremen,124.34,97.95
Prospect,New Knoxville,125.23,99.92
Prospect,Ottawa,141.73,103.75
Prospect,Ottoville,164.26,105.71
Prospect,Pandora,137.83,92.56
Prospect,Saint Marys,133.69,101.94
Prospect,Spencerville,167.62,114.81
Prospect,Sycamore,76.51,56.53
Prospect,Upper Sandusky,58.35,42.18
Prospect,Wapakoneta,116.88,90.36
Prospect,Waynesfield,101.88,79.13
Saint Marys,Ada,69.13,51.5
Saint Marys,Alger,66.54,52.2
Saint Marys,Bluffton,69.69,45.58
Saint Marys,Cairo,54.43,43.96
Saint Marys,Caledonia,169.84,111.76
Saint Marys,Carey,123.88,79.53
Saint Marys,Columbus Grove,64.19,53.64
Saint Marys,Continental,70.65,74.44
Saint Marys,Cridersville,34.6,28.29
Saint Marys,Delphos,36.52,39.11
Saint Marys,Dunkirk,92.96,61.88
Saint Marys,Elida,52.52,42.63
Saint Marys,Forest,103.12,67.96
Saint Marys,Fort Jennings,45.18,48.57
Saint Marys,Glandorf,78.28,66.33
Saint Marys,Kalida,57.67,61.0
Saint Marys,Kenton,72.92,64.04
Saint Marys,La Rue,100.02,90.28
Saint Marys,Leipsic,92.05,73.64
Saint Marys,Lima,44.68,32.44
Saint Marys,Marion,159.26,104.82
Saint Marys,Minster,17.04,18.0
Saint Marys,Mount Victory,82.11,73.98
Saint Marys,Nevada,139.55,89.53
Saint Marys,New Bremen,12.14,12.88
Saint Marys,New Knoxville,10.18,11.83
Saint Marys,Ottawa,75.38,62.16
Saint Marys,Ottoville,48.18,50.02
Saint Marys,Pandora,73.75,52.01
Saint Marys,Prospect,134.56,102.56
Saint Marys,Spencerville,20.38,22.21
Saint Marys,Sycamore,136.56,92.72
Saint Marys,Upper Sandusky,120.9,79.31
Saint Marys,Wapakoneta,20.23,14.58
Saint Marys,Waynesfield,41.22,32.96
Spencerville,Ada,49.06,50.39
Spencerville,Alger,47.56,51.39
Spencerville,Bluffton,49.64,45.18
Spencerville,Cairo,36.03,32.74
Spencerville,Caledonia,152.85,107.07
Spencerville,Carey,103.82,79.13
Spencerville,Columbus Grove,45.78,42.42
Spencerville,Continental,50.27,52.23
Spencerville,Cridersville,24.69,30.89
Spencerville,Delphos,16.14,16.9
Spencerville,Dunkirk,75.98,57.18
Spencerville,Elida,19.58,22.8
Spencerville,Forest,86.13,63.27
Spencerville,Fort Jennings,24.8,26.36
Spencerville,Glandorf,51.05,52.98
Spencerville,Kalida,37.29,38.79
Spencerville,Kenton,66.97,69.76
Spencerville,La Rue,94.06,96.0
Spencerville,Leipsic,69.27,63.45
Spencerville,Lima,22.87,24.6
Spencerville,Marion,142.27,100.13
Spencerville,Minster,37.35,40.06
Spencerville,Mount Victory,81.71,84.51
Spencerville,Nevada,122.56,84.84
Spencerville,New Bremen,32.45,34.94
Spencerville,New Knoxville,29.45,32.17
Spencerville,Ottawa,56.97,50.94
Spencerville,Ottoville,27.8,27.8
Spencerville,Pandora,53.69,51.61
Spencerville,Prospect,167.31,114.42
Spencerville,Saint Marys,20.38,22.21
Spencerville,Sycamore,119.57,88.03
Spencerville,Upper Sandusky,103.91,74.61
Spencerville,Wapakoneta,24.47,25.43
Spencerville,Waynesfield,41.59,45.41
Sycamore,Ada,68.87,51.19
Sycamore,Alger,77.59,60.32
Sycamore,Bluffton,73.77,56.07
Sycamore,Cairo,86.67,59.54
Sycamore,Caledonia,62.22,49.45
Sycamore,Carey,18.97,19.29
Sycamore,Columbus Grove,91.61,67.42
Sycamore,Continental,108.34,97.36
Sycamore,Cridersville,104.21,74.39
Sycamore,Delphos,107.02,72.58
Sycamore,Dunkirk,53.06,40.22
Sycamore,Elida,101.25,72.96
Sycamore,Forest,40.14,32.69
Sycamore,Fort Jennings,113.84,80.02
Sycamore,Glandorf,88.6,79.01
Sycamore,Kalida,107.8,79.52
Sycamore,Kenton,59.22,52.32
Sycamore,La Rue,50.88,52.56
Sycamore,Leipsic,83.42,74.05
Sycamore,Lima,91.72,65.89
Sycamore,Marion,51.63,42.51
Sycamore,Minster,150.15,105.68
Sycamore,Mount Victory,73.88,67.0
Sycamore,Nevada,17.86,18.97
Sycamore,New Bremen,144.83,100.62
Sycamore,New Knoxville,134.32,95.41
Sycamore,Ottawa,85.18,73.9
Sycamore,Ottoville,116.12,78.62
Sycamore,Pandora,89.69,65.46
Sycamore,Prospect,76.68,56.8
Sycamore,Saint Marys,134.25,90.79
Sycamore,Spencerville,119.48,87.72
Sycamore,Upper Sandusky,17.74,18.05
Sycamore,Wapakoneta,115.57,78.1
Sycamore,Waynesfield,100.57,82.73
Upper Sandusky,Ada,53.51,38.63
Upper Sandusky,Alger,62.23,47.76
Upper Sandusky,Bluffton,59.95,44.46
Upper Sandusky,Cairo,71.31,46.98
Upper Sandusky,Caledonia,43.64,34.24
Upper Sandusky,Carey,20.77,15.77
Upper Sandusky,Columbus Grove,76.25,54.87
Upper Sandusky,Continental,111.05,86.57
Upper Sandusky,Cridersville,88.85,61.84
Upper Sandusky,Delphos,91.66,60.02
Upper Sandusky,Dunkirk,37.7,27.67
Upper Sandusky,Elida,85.89,60.4
Upper Sandusky,Forest,24.78,20.14
Upper Sandusky,Fort Jennings,98.48,67.47
Upper Sandusky,Glandorf,90.59,68.85
Upper Sandusky,Kalida,92.44,66.97
Upper Sandusky,Kenton,38.72,39.59
Upper Sandusky,La Rue,33.19,34.57
Upper Sandusky,Leipsic,81.26,65.99
Upper Sandusky,Lima,76.36,53.33
Upper Sandusky,Marion,33.06,27.31
Upper Sandusky,Minster,134.79,93.12
Upper Sandusky,Mount Victory,53.38,54.27
Upper Sandusky,Nevada,16.56,13.53
Upper Sandusky,New Bremen,129.47,88.07
Upper Sandusky,New Knoxville,118.96,82.86
Upper Sandusky,Ottawa,87.68,64.67
Upper Sandusky,Ottoville,100.76,66.06
Upper Sandusky,Pandora,74.33,52.9
Upper Sandusky,Prospect,58.1,41.6
Upper Sandusky,Saint Marys,118.89,78.23
Upper Sandusky,Spencerville,104.12,75.16
Upper Sandusky,Sycamore,17.74,18.05
Upper Sandusky,Wapakoneta,100.21,65.55
Upper Sandusky,Waynesfield,85.21,70.18
Wapakoneta,Ada,50.39,39.7
Wapakoneta,Alger,47.79,40.39
Wapakoneta,Bluffton,50.95,33.78
Wapakoneta,Cairo,35.69,32.15
Wapakoneta,Caledonia,151.1,99.96
Wapakoneta,Carey,105.13,67.73
Wapakoneta,Columbus Grove,45.44,41.84
Wapakoneta,Continental,72.2,69.34
Wapakoneta,Cridersville,15.85,16.48
Wapakoneta,Delphos,37.55,39.91
Wapakoneta,Dunkirk,74.22,50.07
Wapakoneta,Elida,25.72,30.52
Wapakoneta,Forest,84.38,56.16
Wapakoneta,Fort Jennings,46.21,49.38
Wapakoneta,Glandorf,59.54,54.53
Wapakoneta,Kalida,53.59,49.73
Wapakoneta,Kenton,55.37,52.98
Wapakoneta,La Rue,82.47,79.21
Wapakoneta,Leipsic,73.3,61.84
Wapakoneta,Lima,25.93,20.63
Wapakoneta,Marion,140.51,93.02
Wapakoneta,Minster,36.13,32.9
Wapakoneta,Mount Victory,64.55,62.92
Wapakoneta,Nevada,120.8,77.72
Wapakoneta,New Bremen,31.23,27.77
Wapakoneta,New Knoxville,19.22,19.68
Wapakoneta,Ottawa,56.63,50.35
Wapakoneta,Ottoville,61.98,49.36
Wapakoneta,Pandora,55.0,40.21
Wapakoneta,Prospect,117.01,91.5
Wapakoneta,Saint Marys,19.16,15.05
Wapakoneta,Spencerville,24.47,25.43
Wapakoneta,Sycamore,117.81,80.92
Wapakoneta,Upper Sandusky,102.16,67.5
Wapakoneta,Waynesfield,23.67,21.9
Waynesfield,Ada,34.99,32.14
Waynesfield,Alger,26.2,22.95
Waynesfield,Bluffton,45.47,37.66
Waynesfield,Cairo,34.18,37.08
Waynesfield,Caledonia,91.43,90.16
Waynesfield,Carey,99.65,71.61
Waynesfield,Columbus Grove,43.93,46.76
Waynesfield,Continental,71.16,74.72
Waynesfield,Cridersville,21.72,27.29
Waynesfield,Delphos,51.84,48.7
Waynesfield,Dunkirk,49.74,50.14
Waynesfield,Elida,33.07,36.73
Waynesfield,Forest,53.08,53.77
Waynesfield,Fort Jennings,58.67,56.14
Waynesfield,Glandorf,58.03,59.46
Waynesfield,Kalida,52.55,55.12
Waynesfield,Kenton,33.7,33.8
Waynesfield,La Rue,60.8,60.03
Waynesfield,Leipsic,67.82,65.72
Waynesfield,Lima,22.62,25.35
Waynesfield,Marion,77.28,75.64
Waynesfield,Minster,57.37,48.83
Waynesfield,Mount Victory,47.19,46.77
Waynesfield,Nevada,103.71,79.89
Waynesfield,New Bremen,52.05,43.77
Waynesfield,New Knoxville,41.49,38.06
Waynesfield,Ottawa,55.12,55.28
Waynesfield,Ottoville,60.94,54.74
Waynesfield,Pandora,49.52,44.09
Waynesfield,Prospect,102.95,80.23
Waynesfield,Saint Marys,41.43,33.43
Waynesfield,Spencerville,41.59,45.41
Waynesfield,Sycamore,100.72,83.08
Waynesfield,Upper Sandusky,85.06,69.67
Waynesfield,Wapakoneta,24.62,21.86
