,f_1,f_2,f_3,f_4
4012,242.0,1.0,427.95,0.5165109202542357
4013,252.0,2.0,503.95,0.5720664758097913
4014,402.0,4.0,835.45,0.6377410468319559
4015,284.0,0.0,336.4,0.34227299735321126
4016,414.0,1.0,763.65,0.5165109202542357
4017,284.0,0.0,336.4,0.34227299735321126
4018,309.0,1.0,496.15,0.47478348547867266
4019,402.0,4.0,835.45,0.6377410468319559
4020,284.0,0.0,336.4,0.34227299735321126
4021,414.0,1.0,763.65,0.5165109202542357
4022,284.0,0.0,336.4,0.34227299735321126
4023,355.0,0.0,420.5,0.34227299735321126
4024,402.0,4.0,835.45,0.6377410468319559
4025,402.0,4.0,835.45,0.6377410468319559
4026,402.0,4.0,835.45,0.6377410468319559
4027,402.0,4.0,835.45,0.6377410468319559
4028,402.0,4.0,835.45,0.6377410468319559
4029,402.0,4.0,835.45,0.6377410468319559
4030,402.0,4.0,835.45,0.6377410468319559
4031,402.0,4.0,835.45,0.6377410468319559
4032,402.0,4.0,835.45,0.6377410468319559
4033,402.0,4.0,835.45,0.6377410468319559
4034,402.0,4.0,835.45,0.6377410468319559
4035,402.0,4.0,835.45,0.6377410468319559
4036,416.0,3.0,837.9,0.6186193485658726
4037,402.0,4.0,835.45,0.6377410468319559
4038,402.0,4.0,835.45,0.6377410468319559
4039,402.0,4.0,835.45,0.6377410468319559
4040,259.0,3.0,585.95,0.6186193485658726
4041,436.0,5.0,1094.6,0.6377410468319559
4042,259.0,3.0,585.95,0.6186193485658726
4043,402.0,4.0,835.45,0.6377410468319559
4044,402.0,4.0,835.45,0.6377410468319559
4045,309.0,1.0,496.15,0.47478348547867266
4046,440.0,9.0,1428.25,0.6377410468319559
4047,309.0,1.0,496.15,0.47478348547867266
4048,390.0,3.0,750.0,0.5854084517186121
4049,402.0,4.0,835.45,0.6377410468319559
4050,355.0,0.0,420.5,0.34227299735321126
4051,441.0,10.0,1506.95,0.5997497254181746
4052,355.0,0.0,420.5,0.34227299735321126
4053,394.0,2.0,672.15,0.5720664758097913
4054,402.0,4.0,835.45,0.6377410468319559
4055,402.0,4.0,835.45,0.6377410468319559
4056,441.0,10.0,1506.95,0.6283602513549038
4057,402.0,4.0,835.45,0.6377410468319559
4058,402.0,4.0,835.45,0.6377410468319559
4059,402.0,4.0,835.45,0.6377410468319559
4060,402.0,4.0,835.45,0.6377410468319559
4061,441.0,10.0,1506.95,0.5997497254181746
4062,402.0,4.0,835.45,0.6377410468319559
4063,402.0,4.0,835.45,0.6377410468319559
4064,402.0,4.0,835.45,0.6377410468319559
4065,402.0,4.0,835.45,0.6377410468319559
4066,441.0,10.0,1506.95,0.5997497254181746
4067,402.0,4.0,835.45,0.6377410468319559
4068,402.0,4.0,835.45,0.6377410468319559
4069,402.0,4.0,835.45,0.6377410468319559
4070,402.0,4.0,835.45,0.6377410468319559
4071,441.0,10.0,1506.95,0.5997497254181746
4072,402.0,4.0,835.45,0.6377410468319559
4073,403.0,4.0,839.35,0.6377410468319559
4074,402.0,4.0,835.45,0.6377410468319559
4075,338.0,2.0,671.8,0.5720664758097913
4076,441.0,10.0,1506.95,0.5997497254181746
4077,338.0,2.0,671.8,0.5720664758097913
4078,401.0,3.0,754.15,0.6186193485658726
4079,402.0,4.0,835.45,0.6377410468319559
4080,369.0,1.0,512.4,0.4395559876843299
4081,441.0,10.0,1506.95,0.5997497254181746
4082,369.0,1.0,512.4,0.4395559876843299
4083,424.0,2.0,839.65,0.5720664758097913
4084,402.0,4.0,835.45,0.6377410468319559
4085,402.0,4.0,835.45,0.6377410468319559
4086,441.0,10.0,1506.95,0.5997497254181746
4087,402.0,4.0,835.45,0.6377410468319559
4088,402.0,4.0,835.45,0.6377410468319559
4089,402.0,4.0,835.45,0.6377410468319559
4090,402.0,4.0,835.45,0.6377410468319559
4091,441.0,10.0,1506.95,0.5997497254181746
4092,402.0,4.0,835.45,0.6377410468319559
4093,402.0,4.0,835.45,0.6377410468319559
4094,402.0,4.0,835.45,0.6377410468319559
4095,402.0,4.0,835.45,0.6377410468319559
