city,Ada,Alger,Bluffton,Cairo,Caledonia,Carey,Columbus Grove,Continental,Cridersville,Delphos,Dunkirk,Elida,Forest,Fort Jennings,Glandorf,Kalida,Kenton,La Rue,Leipsic,Lima,Marion,Minster,Mount Victory,Nevada,New Bremen,New Knoxville,Ottawa,Ottoville,Pandora,Prospect,Saint Marys,Spencerville,Sycamore,Upper Sandusky,Wapakoneta,Waynesfield,Bellefontaine,West Liberty,Russells Point,De Graff,Lakeview,Belle Center,Quincy,Marysville,Plain City,Richwood,Milford Center,Findlay,Fostoria,McComb,Arlington,Rawson,Arcadia
Fort Jennings,36.21,41.24,33.61,18.87,91.5,65.65,14.3,16.51,30.19,5.37,43.86,13.45,49.96,0.0,16.71,8.55,50.98,69.56,28.7,21.42,83.78,38.67,62.99,72.83,35.83,34.19,18.4,3.01,20.36,100.63,28.62,15.62,71.07,62.22,36.66,36.99,57.57,65.37,54.38,65.91,52.08,50.52,64.11,81.65,95.59,80.5,83.74,49.62,65.36,35.33,45.96,39.35,57.71
Glandorf,31.59,36.62,20.62,15.71,86.88,44.04,8.87,15.08,30.18,22.56,39.23,24.02,45.34,16.71,0.0,8.45,46.36,64.94,13.63,22.37,79.16,57.88,58.37,68.21,55.05,48.05,3.32,16.86,12.05,96.01,47.21,31.87,55.58,57.6,36.65,36.69,57.28,65.07,49.52,65.91,47.22,50.23,64.11,81.36,95.3,75.88,83.44,24.9,40.32,20.26,32.27,21.67,32.67
Kalida,32.99,38.02,20.31,14.84,88.28,50.85,9.12,11.94,26.91,14.4,40.64,19.62,46.75,8.55,8.45,0.0,47.76,66.34,20.44,18.15,80.56,54.61,59.78,69.61,51.78,44.78,10.13,8.69,15.22,97.41,43.94,23.71,67.84,59.01,33.39,33.72,54.3,62.09,51.11,62.64,48.8,47.26,60.84,78.39,92.32,77.28,80.47,31.71,47.14,27.07,42.74,28.48,39.48
Kenton,15.24,15.4,29.83,37.67,36.57,35.65,40.92,62.75,34.9,52.3,10.63,34.62,13.18,54.71,49.75,51.35,0.0,17.64,49.39,29.91,27.76,54.04,9.94,39.43,51.21,45.89,47.99,56.23,38.01,34.26,45.06,41.29,37.67,28.83,35.06,21.64,21.97,29.76,25.79,33.11,25.15,14.66,36.38,32.14,46.33,27.44,38.23,28.59,44.33,38.85,18.06,29.56,36.68
La Rue,32.43,32.58,44.99,52.84,24.77,33.25,56.08,77.92,52.08,67.47,26.89,61.7,20.08,69.88,64.93,66.52,17.64,0.0,64.56,47.09,16.52,70.3,9.15,28.84,67.46,62.16,63.16,71.41,53.18,17.81,61.31,58.48,31.9,21.8,51.32,37.89,31.11,36.98,42.05,42.61,41.4,30.93,45.88,27.05,40.41,12.0,33.12,47.28,48.5,54.69,33.9,44.73,53.02
Leipsic,31.01,36.03,19.69,25.31,78.67,41.31,18.48,19.79,39.26,34.55,38.65,33.63,44.75,28.7,13.63,20.44,45.78,64.35,0.0,31.97,70.94,66.96,57.79,59.99,64.13,57.14,12.93,28.84,11.92,87.79,56.29,46.84,52.86,52.82,45.73,42.6,61.81,69.6,54.25,74.99,51.95,54.76,73.19,85.89,99.83,75.29,87.97,22.17,33.95,11.51,32.33,20.73,28.15
Lima,17.48,17.72,19.75,7.43,81.7,51.79,13.51,29.69,9.15,19.29,34.06,5.23,40.16,21.7,22.35,18.29,29.47,46.91,31.96,0.0,73.97,36.85,39.2,63.03,34.01,27.02,20.59,23.23,20.46,90.83,26.18,13.63,61.26,52.42,15.62,15.97,36.56,44.35,33.34,44.88,31.04,29.51,43.07,60.64,74.58,56.71,62.72,35.77,51.51,36.44,36.16,25.49,43.85
Marion,56.11,42.68,59.09,66.93,10.66,33.07,70.18,92.02,78.5,81.57,46.22,75.81,37.98,83.98,79.03,80.62,27.74,16.52,70.74,74.33,0.0,106.2,30.07,17.12,103.37,96.37,77.26,85.51,67.28,13.1,95.52,87.5,30.99,20.7,84.97,47.99,54.31,56.31,52.15,64.9,51.5,41.02,68.16,30.39,43.99,17.82,36.45,47.1,48.33,59.35,48.0,56.52,52.84
Minster,52.62,50.61,54.89,43.25,115.0,86.92,49.34,54.72,31.29,34.9,67.36,41.86,73.46,38.67,58.18,54.92,54.04,70.3,67.23,37.16,107.28,0.0,52.31,96.33,3.02,9.42,56.41,40.64,55.59,81.39,11.64,23.25,94.56,85.72,23.5,35.55,39.49,41.35,30.4,30.35,30.88,40.16,26.97,63.57,77.51,65.6,65.65,70.9,86.64,71.58,64.94,60.62,78.98
Mount Victory,24.72,24.88,38.37,46.22,36.91,44.07,49.47,71.3,44.38,60.85,19.18,44.1,21.59,63.26,58.3,59.9,9.94,9.15,57.94,39.38,30.07,52.31,0.0,47.85,49.48,49.61,56.54,64.78,46.56,24.05,50.09,50.77,46.08,37.24,40.1,29.41,20.24,26.63,24.07,31.39,26.23,12.94,34.66,22.26,36.45,17.56,28.35,37.13,59.32,47.4,26.61,38.11,45.23
Nevada,44.84,49.87,47.83,55.67,24.94,21.81,58.92,80.75,67.23,70.31,34.95,64.54,26.72,72.72,67.76,69.36,39.41,29.06,59.48,63.07,17.21,94.93,47.83,0.0,92.1,85.1,66.0,74.24,56.01,34.06,84.26,76.24,11.41,9.43,73.71,64.32,60.0,67.8,63.82,71.15,69.92,52.7,74.42,46.02,58.27,33.47,52.09,35.84,37.06,48.09,36.74,45.26,41.58
New Bremen,49.79,47.78,52.05,40.41,112.17,84.09,46.5,51.88,28.46,32.07,64.52,39.03,70.63,35.83,55.35,52.09,51.21,67.46,64.39,34.32,104.45,3.02,49.48,93.49,0.0,6.59,53.58,37.81,52.76,78.56,8.8,20.42,91.73,82.89,20.67,32.72,36.65,44.45,27.56,32.12,28.04,37.33,28.74,60.74,74.68,62.76,62.82,68.06,83.8,68.74,62.11,57.79,76.15
New Knoxville,42.94,40.92,45.19,33.56,105.31,77.24,39.65,50.25,21.61,30.43,57.67,32.17,63.77,34.19,48.49,45.24,45.76,62.02,57.54,27.47,97.59,9.42,49.61,86.64,6.59,0.0,46.73,36.17,45.91,78.69,5.92,18.78,84.87,76.04,11.07,25.63,36.79,44.58,25.46,33.22,24.16,37.46,29.83,60.87,74.81,62.9,62.95,61.21,76.94,61.89,55.25,50.93,69.3
Ottawa,29.83,34.86,18.27,13.95,85.12,43.34,7.11,15.87,28.42,29.54,37.47,22.26,43.58,18.4,3.32,10.13,44.6,63.17,12.93,20.6,77.4,56.12,56.61,66.44,53.29,46.29,0.0,18.54,13.18,94.24,45.45,35.47,54.89,55.84,34.9,34.93,55.52,63.31,47.76,64.15,45.46,48.47,62.35,79.6,93.54,74.11,81.69,24.2,39.62,19.56,29.93,20.97,31.97
Ottoville,37.92,42.95,35.31,20.58,93.21,67.35,17.31,16.09,31.89,5.74,45.57,15.45,51.67,3.01,16.86,8.69,52.69,71.27,28.84,23.13,85.48,40.64,64.7,74.53,37.81,36.17,18.54,0.0,23.37,102.33,30.6,17.59,72.77,63.93,38.36,38.69,59.28,67.07,56.08,67.62,53.78,52.23,65.82,83.36,97.3,82.2,85.44,51.33,67.06,35.47,47.67,41.05,59.41
Pandora,19.52,23.55,8.1,12.97,74.81,36.86,6.13,24.62,27.66,31.32,27.17,22.87,33.27,20.39,12.08,15.24,34.29,52.87,11.95,20.45,67.09,55.36,46.3,56.14,52.52,45.53,13.21,23.4,0.0,83.94,44.68,33.4,54.38,45.53,34.13,31.0,51.58,59.38,42.64,63.39,40.34,44.53,61.58,75.66,89.6,63.81,77.75,18.59,34.34,17.83,19.75,11.27,26.68
Prospect,49.05,49.21,75.98,83.82,21.62,49.95,87.07,108.9,79.71,98.45,43.51,92.68,36.7,100.86,95.9,97.5,34.26,17.81,87.63,91.21,13.11,80.72,24.05,34.01,77.89,78.02,94.14,102.39,84.16,0.0,82.44,104.38,47.87,37.58,72.45,63.76,42.97,44.97,52.47,53.56,54.64,36.99,56.83,19.05,28.14,6.48,25.11,63.98,65.21,76.24,64.88,73.4,69.72
