city,lat,long,pop
Ada,40.768056,-83.825278,5334
Lima,40.746389,-84.123333,35579
Kenton,40.646667,-83.6225,7947
Delphos,40.861111,-84.35,7117
Bluffton,40.889444,-83.879167,3967
Elida,40.786667,-84.198889,1923
Forest,40.805,-83.511667,1350
Alger,40.709722,-83.844167,837
Dunkirk,40.788056,-83.642778,774
Mount Victory,40.533611,-83.521111,601
Cairo,40.830833,-84.084444,517
St.Marys,40.548889,-84.373333,8397
